TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY
addresses,id,bigint,NO,PRI
addresses,address_line1,varchar,NO,
addresses,address_line2,varchar,YES,
addresses,city,varchar,NO,
addresses,country,varchar,NO,
addresses,created_at,datetime,YES,
addresses,email,varchar,YES,
addresses,full_name,varchar,NO,
addresses,is_default,bit,NO,
addresses,mobile,varchar,NO,
addresses,state,varchar,NO,
addresses,updated_at,datetime,YES,
addresses,zip_code,varchar,NO,
addresses,user_id,bigint,NO,MUL
cart_items,id,bigint,NO,PRI
cart_items,product_id,bigint,NO,MUL
cart_items,quantity,int,NO,
cart_items,color,varchar,YES,
cart_items,created_at,datetime,YES,
cart_items,size,varchar,YES,
cart_items,updated_at,datetime,YES,
cart_items,user_id,bigint,NO,MUL
carts,id,bigint,NO,PRI
carts,user_id,bigint,NO,MUL
carts,created_at,timestamp,YES,
carts,updated_at,timestamp,YES,
categories,id,bigint,NO,PRI
categories,description,varchar,YES,
categories,image,varchar,YES,
categories,item_count,varchar,YES,
categories,name,varchar,NO,UNI
order_items,id,bigint,NO,PRI
order_items,order_id,bigint,NO,MUL
order_items,product_id,bigint,NO,MUL
order_items,quantity,int,NO,
order_items,price,decimal,NO,
order_items,color,varchar,YES,
order_items,size,varchar,YES,
order_items,subtotal,decimal,NO,
orders,id,bigint,NO,PRI
orders,user_id,bigint,NO,MUL
orders,order_number,varchar,NO,UNI
orders,status,enum,NO,
orders,payment_method,enum,NO,
orders,created_at,timestamp,YES,
orders,updated_at,timestamp,YES,
orders,coupon_code,varchar,YES,
orders,delivered_date,datetime,YES,
orders,discount,decimal,NO,
orders,notes,varchar,YES,
orders,order_date,datetime,YES,
orders,shipping,decimal,NO,
orders,subtotal,decimal,NO,
orders,total,decimal,NO,
orders,shipping_address_id,bigint,NO,MUL
product_features,product_id,bigint,NO,MUL
product_features,feature,varchar,YES,
product_images,product_id,bigint,NO,MUL
product_images,image_url,varchar,YES,
product_sizes,product_id,bigint,NO,MUL
product_sizes,size,varchar,YES,
products,id,bigint,NO,PRI
products,name,varchar,NO,
products,description,text,YES,
products,price,decimal,NO,
products,category,varchar,YES,
products,image_url,varchar,YES,
products,stock_quantity,int,YES,
products,created_at,timestamp,YES,
products,updated_at,timestamp,YES,
products,badge,varchar,YES,
products,image,varchar,NO,
products,in_stock,bit,NO,
products,original_price,decimal,YES,
products,rating,double,NO,
products,reviews,int,NO,
products,stock_count,int,NO,
products,category_id,bigint,NO,MUL
users,id,bigint,NO,PRI
users,email,varchar,NO,UNI
users,password,varchar,NO,
users,full_name,varchar,NO,
users,mobile,varchar,YES,
users,role,enum,NO,
users,created_at,timestamp,YES,
users,updated_at,timestamp,YES,
users,active,bit,NO,
